"id","c_fraccionarancelaria","descripcion"
"catalogos_fraccionarancelaria219","0303410100","Albacoras o atunes blancos (Thunnus alalunga)"
"catalogos_fraccionarancelaria220","0303420100","Atunes de aleta amarilla (rabiles) (Thunnus albacares)"
"catalogos_fraccionarancelaria221","0303430100","Listados (bonitos de vientre rayado) (Katsuwonus pelamis)"
"catalogos_fraccionarancelaria222","0303440100","Patudos o atunes ojo grande (Thunnus obesus)"
"catalogos_fraccionarancelaria223","0303450100","Atunes comunes o de aleta azul del Atlántico y del Pacífico (Thunnus thynnus Thunnus orientalis)"
"catalogos_fraccionarancelaria224","0303460100","Atunes del sur (Thunnus maccoyii)"
"catalogos_fraccionarancelaria225","0303499900","Los demás"
"catalogos_fraccionarancelaria226","0303510100","Arenques (Clupea harengus Clupea pallasii)"
"catalogos_fraccionarancelaria227","0303530100","Sardinas (Sardina pilchardus Sardinops spp) sardinelas (Sardinella spp) y espadines (Sprattus sprattus)"
"catalogos_fraccionarancelaria228","0303540100","Caballas (Scomber scombrus Scomber australasicus Scomber japonicus)"
"catalogos_fraccionarancelaria229","0303550100","Jureles (Trachurus spp)"
"catalogos_fraccionarancelaria230","0303560100","Cobias (Rachycentron canadum)"
"catalogos_fraccionarancelaria231","0303570100","Peces espada (Xiphias gladius)"
"catalogos_fraccionarancelaria232","0303599900","Los demás"
"catalogos_fraccionarancelaria233","0303630100","Bacalaos (Gadus morhua Gadus ogac Gadus macrocephalus)"
"catalogos_fraccionarancelaria234","0303640100","Eglefinos (Melanogrammus aeglefinus)"
"catalogos_fraccionarancelaria235","0303650100","Carboneros (Pollachius virens)"
"catalogos_fraccionarancelaria236","0303660100","Merluzas (Merluccius spp Urophycis spp)"
"catalogos_fraccionarancelaria237","0303670100","Abadejos de Alaska (Theragra chalcogramma)"
"catalogos_fraccionarancelaria238","0303680100","Bacaladillas (Micromesistius poutassou Micromesistius australis)"
"catalogos_fraccionarancelaria239","0303699900","Los demás"
"catalogos_fraccionarancelaria240","0303810100","Cazones y demás escualos"
"catalogos_fraccionarancelaria241","0303820100","Rayas (Rajidae)"
"catalogos_fraccionarancelaria242","0303830100","Austromerluzas antárticas y austromerluzas negras (merluzas negras bacalaos de profundidad nototenias negras) (Dissostichus spp)"
"catalogos_fraccionarancelaria243","0303840100","Róbalos (Dicentrarchus spp)"
"catalogos_fraccionarancelaria244","0303890100","Totoabas"
"catalogos_fraccionarancelaria245","0303899900","Los demás"
"catalogos_fraccionarancelaria246","0303910100","Hígados huevas y lechas"
"catalogos_fraccionarancelaria247","0303920100","Aletas de tiburón"
"catalogos_fraccionarancelaria248","0303990100","De Atunes (del género Thunnus) listados o bonitos de vientre rayado (Euthynnus (Katsuwonus) pelamis)"
"catalogos_fraccionarancelaria249","0303990200","De Merluzas (Merluccius spp Urophycis spp) y de Anguilas"
"catalogos_fraccionarancelaria250","0303990300","De Totoabas"
"catalogos_fraccionarancelaria251","0303999900","Los demás"
"catalogos_fraccionarancelaria252","0304310100","Tilapias (Oreochromis spp)"
